ID,Tipo,COD,Nome,Pubblicato,In primo piano?,Visibilità nel catalogo,Breve descrizione,Descrizione,Data di partenza del prezzo in saldo,Data in cui termina l'offerta,Stato delle imposte,Aliquota di imposta,In stock?,Magazzino,Quantità in magazzino bassa,Abilita gli ordini arretrati?,Venduto singolarmente?,Peso (kg),Lunghezza (cm),Larghezza (cm),Altezza (cm),Permetti le recensioni clienti?,Nota di acquisto,Prezzo in offerta,Prezzo di listino,Categorie,Tag,Classe di spedizione,Immagine,Limite di download,Scarica i giorni di scadenza,Genitore,Prodotti raggruppati,Up-sell,Cross-sell,URL esterna,Testo del pulsante,Posizione,Variation Gallery,Swatches Attributes,Attributo 1 nome,Attributo 1 valuta(e),Attributo 1 visibile,Attributo 1 globale,Attributo 2 nome,Attributo 2 valuta(e),Attributo 2 visibile,Attributo 2 globale,Attributo 3 nome,Attributo 3 valuta(e),Attributo 3 visibile,Attributo 3 globale,Attributo 4 nome,Attributo 4 valuta(e),Attributo 4 visibile,Attributo 4 globale,Attributo 5 nome,Attributo 5 valuta(e),Attributo 5 visibile,Attributo 5 globale,Attributo 6 nome,Attributo 6 valuta(e),Attributo 6 visibile,Attributo 6 globale,Attributo 7 nome,Attributo 7 valuta(e),Attributo 7 visibile,Attributo 7 globale,Attributo 8 nome,Attributo 8 valuta(e),Attributo 8 visibile,Attributo 8 globale,Attributo 9 nome,Attributo 9 valuta(e),Attributo 9 visibile,Attributo 9 globale,Attributo 10 nome,Attributo 10 valuta(e),Attributo 10 visibile,Attributo 10 globale,Attributo 11 nome,Attributo 11 valuta(e),Attributo 11 visibile,Attributo 11 globale,Attributo 12 nome,Attributo 12 valuta(e),Attributo 12 visibile,Attributo 12 globale,Attributo 13 nome,Attributo 13 valuta(e),Attributo 13 visibile,Attributo 13 globale,Attributo 14 nome,Attributo 14 valuta(e),Attributo 14 visibile,Attributo 14 globale

4868,simple,,JUMPOO 2214,1,1,visible,,,,,,,,,,0,0,,,,,0,,,,,Vinci Play,,"https://www.play-lab.it/wp-content/uploads/2024/01/fce0-22141s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/f1f3-22142s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/383c-2214c11s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/207a-2214c21s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/e461-22141s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/4b9d-2214c41s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/7c7b-2214c121s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/e8aa-2214c131s.jpg",,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,300 cm,1,1,Larghezza,150 cm,1,1,Altezza Totale,,1,1,,4 - 15 years,1,1,,,1,1,,"27,3 m2",1,1,,90 cm,1,1,,1176-1:2017,1,1,,203 kg,1,1,,300x150x31 cm,1,1,,,1,1,,,1,1,,,,,,,,

4870,simple,,JUMPOO 2220,1,1,visible,,,,,,,,,,0,0,,,,,0,,,,,Vinci Play,,"https://www.play-lab.it/wp-content/uploads/2024/01/453b-22201s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/1e07-2220c11s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/286c-2220c21s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/f91d-2220c31s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/cb62-2220c41s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/db9d-2220c121s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/dc05-2220c131s.jpg",,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,300 cm,1,1,Larghezza,300 cm,1,1,Altezza Totale,,1,1,,4 - 15 years,1,1,,,1,1,,"38,9 m2",1,1,,90 cm,1,1,,1176-1:2017,1,1,,104 kg,1,1,,150x150x31 cm,1,1,,,1,1,,,1,1,,,,,,,,

5007,simple,,JUMPOO 2221,1,1,visible,,,,,,,,,,0,0,,,,,0,,,,,Vinci Play,,"https://www.play-lab.it/wp-content/uploads/2024/01/7c9a-22141s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/0405-2214c11s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/4f84-2214c21s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/2214c31s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/7841-2214c41s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/6235-2214c121s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/94fe-2214c131s.jpg",,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,375 cm,1,1,Larghezza,375 cm,1,1,Altezza Totale,,1,1,,4 - 15 years,1,1,,,1,1,,"41,2 m2",1,1,,90 cm,1,1,,1176-1:2017,1,1,,120 kg,1,1,,150x150x31 cm,1,1,,,1,1,,,1,1,,,,,,,,

5008,simple,,JUMPOO 2222,1,1,visible,,,,,,,,,,0,0,,,,,0,,,,,Vinci Play,,"https://www.play-lab.it/wp-content/uploads/2024/01/559d-22221s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/2222c11s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/02f1-2222c21s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/1f58-2222c31s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/d411-2222c41s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/73fe-2222c121s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/2222c131s.jpg",,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,605 cm,1,1,Larghezza,380 cm,1,1,Altezza Totale,,1,1,,4 - 15 years,1,1,,,1,1,,"58,3 m2",1,1,,90 cm,1,1,,1176-1:2017,1,1,,120 kg,1,1,,150x150x31 cm,1,1,,,1,1,,2 ore,1,1,,,,,,,,

5009,simple,,JUMPOO 2223,1,1,visible,,,,,,,,,,0,0,,,,,0,,,,,Vinci Play,,"https://www.play-lab.it/wp-content/uploads/2024/01/7b1c-22231s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/c7d2-2223c11s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/7678-2223c21s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/86d4-2223c31s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/5adb-2223c41s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/92d0-2223c121s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/afc9-2223c131s.jpg",,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,745 cm,1,1,Larghezza,325 cm,1,1,Altezza Totale,,1,1,,4 - 15 years,1,1,,,1,1,,"60,0 m2",1,1,,90 cm,1,1,,1176-1:2017,1,1,,120 kg,1,1,,150x150x31 cm,1,1,,,1,1,,2 ore,1,1,,,,,,,,

5010,simple,,JUMPOO 2224,1,1,visible,,,,,,,,,,0,0,,,,,0,,,,,Vinci Play,,"https://www.play-lab.it/wp-content/uploads/2024/01/0e6f-22241s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/28a5-2224c11s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/cd46-2224c21s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/d61a-2224c31s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/fba8-2224c41s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/5329-2224c121s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/c1c1-2224c131s.jpg",,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,905 cm,1,1,Larghezza,680 cm,1,1,Altezza Totale,,1,1,,4 - 15 years,1,1,,,1,1,,"93,0 m2",1,1,,90 cm,1,1,,1176-1:2017,1,1,,120 kg,1,1,,150x150x31 cm,1,1,,,1,1,,2 ore,1,1,,,,,,,,

5011,simple,,SPACE 3401,1,1,visible,,,,,,,,,,0,0,,,,,0,,,,,Vinci Play,,"https://www.play-lab.it/wp-content/uploads/2024/01/0b64-34011s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/365b-34012s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/3401ciinox1s.jpg",,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,350 cm,1,1,Larghezza,215 cm,1,1,Altezza Totale,290 cm,1,1,,1 - 8 years,1,1,,,1,1,,"25,6 m2",1,1,,<60 cm,1,1,,1176-1:2017,1,1,,17 kg,1,1,,8x8x340 cm,1,1,,,1,1,,2 ore,1,1,,,,,,,,

5012,simple,,SPACE 3402,1,1,visible,,,,,,,,,,0,0,,,,,0,,,,,Vinci Play,,"https://www.play-lab.it/wp-content/uploads/2024/01/f413-34021s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/9a38-34022s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/3402ciinox1s.jpg",,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,280 cm,1,1,Larghezza,175 cm,1,1,Altezza Totale,380 cm,1,1,,3 - 14 years,1,1,,,1,1,,"21,4 m2",1,1,,120 cm,1,1,,1176-1:2017,1,1,,26 kg,1,1,,8x8x432 cm,1,1,,,1,1,,,1,1,,,,,,,,

5013,simple,,SPACE 3403,1,1,visible,,,,,,,,,,0,0,,,,,0,,,,,Vinci Play,,"https://www.play-lab.it/wp-content/uploads/2024/01/2b47-34031s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/14c1-34032s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/3403ciinox1s.jpg",,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,390 cm,1,1,Larghezza,305 cm,1,1,Altezza Totale,350 cm,1,1,,3 - 14 years,1,1,,,1,1,,"32,4 m2",1,1,,200 cm,1,1,,1176-1:2017,1,1,,19 kg,1,1,,8x8x394 cm,1,1,,,1,1,,8 ore,1,1,,,,,,,,

5014,simple,,SPACE 3404,1,1,visible,"I francesi sono più seguaci del Fitness, con l'obiettivo di mantenere una buona salute, per divertirsi e per lo sviluppo muscolare. Al fine di rispondere a questa moda e raggiungere una vasta gamma di utenti, FitPark® ha sviluppato il gamma ”R”, dispositivi orientati alla performance. Questi apparecchi sono dotati di un sistema che permette di variare gli sforzi, Secondo la sua forma fisica e i suoi obiettivi.
\nDispositivi di cardio-Training sono dotati di schermo, permettendo di avere traccia dati : distanza percorsa, velocità, durata, calorie bruciate, anche utili informazioni per gli utenti che desiderano tenere traccia di loro programmi sportivi.","<ul>
\n 	<li>Estende la potenza muscolare degli arti superiori, inferiore, e il bacino.</li>
\n 	<li>Migliora la capacità cardiopolmonare e il coordinamento dei membri.</li>
\n 	<li>Settle stare sull'apparecchio e tenere le maniglie, pedale mentre si tira verso di te, una manciata e poi l'altro.</li>
\n</ul>",,,taxable,,1,,,0,0,,,,,0,,,,"Fitness per parchi, Fitness per parchi > Gamma ""R""","Fit Park, Fitness",,"https://www.play-lab.it/wp-content/uploads/2024/01/8c0d-34041s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/c1d6-34042s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/c689-3404ciinox1s.jpg",,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,570 cm,1,1,Larghezza,170 cm,1,1,Altezza Totale,380 cm,1,1,In conformità alla norma EN,3 - 14 years,1,1,Materiale,"Acciaio inossidabile, Policarbonato",1,1,,"33,7 m2",1,1,,150 cm,1,1,,1176-1:2017,1,1,,26 kg,1,1,,8x8x432 cm,1,1,,,1,1,,8 ore,1,1,,,,,,,,

5015,simple,,SPACE 3427,1,1,visible,"Pavimentazione di protezione anticaduta per parchi giochi interni ed esterni.
\nSistemi che assorbono un alto grado di energia (in caduta) e quindi proteggono dalle lesioni soprattutto i bambini piccoli.
\nCONIPUR PG per uso esterno è permeabile all’acqua, facile da pulire, resistente alle intemperie e di lunga durata.
\nCONIPUR PGi è stuccato e sigillato con materiale trasparente. La superficie liscia è ideale per l’uso in interni.
\nLa superficie è realizzata con granulati di EPDM colorati e stabili ai raggi UV. Grazie ai molti colori disponibili e alle svariate possibilità di combinazione, la fantasia non conosce limiti.","<ul>
\n 	<li><strong>Con qualsiasi tempo</strong>
\nResistente alle intemperie e permeabile. Riutilizzabile in breve tempo dopo la pioggia</li>
\n 	<li><strong>Assorbimento di energia nelle cadute</strong>
\nUn sistema che assorbe un alto grado di energia (in caduta) e quindi protegge dalle lesioni soprattutto i bambini piccoli.</li>
\n 	<li><strong>Svariate possibilità di combinazioni cromatiche</strong>
\nGrazie ai molti colori disponibili e alle svariate possibilità di combinazione, la fantasia non conosce limiti.</li>
\n 	<li><strong>Lunga durata</strong>
\nRealizzato con granulati di EPDM stabili ai raggi UV, resta bello e funzionale anche dopo anni</li>
\n 	<li><strong>CONIPUR PG</strong>
\nPavimentazione anticaduta per campi da gioco all’aperto</li>
\n 	<li>Sistemi che assorbono un alto grado di energia (in caduta) e quindi proteggono dalle lesioni soprattutto i bambini piccoli.</li>
\n 	<li>CONIPUR PG per uso esterno è permeabile all’acqua, facile da pulire, resistente alle intemperie e di lunga durata.</li>
\n 	<li>La superficie è realizzata con granulati di EPDM colorati e stabili ai raggi UV. Grazie ai molti colori disponibili e alle svariate possibilità di combinazione, la fantasia non conosce limiti.</li>
\n</ul>",,,taxable,,1,,,0,0,,,,,0,,,,"Pavimentazione, Pavimentazione > Protezione anticaduta",Vinci Play,,"https://www.play-lab.it/wp-content/uploads/2024/01/7e38-34271s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/05f9-34272s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/5052-3427ciinox1s.jpg",,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,535 cm,1,1,Larghezza,375 cm,1,1,Altezza Totale,510 cm,1,1,Età,4 - 14 years,1,1,Numero di Utenti,20,1,1,Zona di Sicurezza,"43,1 m2",1,1,Altezza di Caduta Libera,270 cm,1,1,In conformità alla norma EN,1176-1:2017,1,1,Peso della parte più pesante,65 kg,1,1,Dimensioni della parte più grande,8x8x510 cm,1,1,Materiale,"Acciaio inossidabile, Policarbonato",1,1,,,1,1,,,,,,,,

5016,simple,,SPACE 3430,1,1,visible,"La serie PARK è un complemento necessario per un parco giochi adatto ai bambini. Comode panchine e tavoli, cestini colorati, pannelli informativi e recinzioni: tutti questi elementi garantiscono un piacevole relax ai bambini, ai loro genitori e agli operatori sanitari. Il design moderno ed esteticamente gradevole dell'arredo urbano si integra armoniosamente con le attrezzature del parco giochi.","<strong>Specifica del materiale</strong>
\n<ul>
\n 	<li>Acciaio zincato e verniciato a polvere costruzione,</li>
\n 	<li>Sedili/schienali realizzati con la massima qualità
\npino lamellare, impregnato e doppiamente rivestito legno senza nodi,</li>
\n 	<li>Viti in acciaio inox e/o rivestite con tappi di plastica,</li>
\n</ul>
\n<strong>Informazioni aggiuntive</strong>
\n<ul>
\n 	<li>piccola architettura;</li>
\n 	<li>senza spigoli vivi o fessure che potrebbero costituire un pericolo
\ncolpire la testa, le dita o qualsiasi altra parte del corpo;</li>
\n 	<li>il rendering è solo di riferimento, l'aspetto reale di
\nl'attrezzatura e il suo colore possono variare;</li>
\n</ul>",,,taxable,,1,,,0,0,,,,,0,,,,"Arredo urbano, Arredo urbano > Park",Vinci Play,,"https://www.play-lab.it/wp-content/uploads/2024/01/17b3-34301s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/0b45-34302s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/aa6a-3430ciinox1s.jpg",,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,745 cm,1,1,Larghezza,555 cm,1,1,Altezza Totale,660 cm,1,1,In conformità alla norma EN,4 - 14 years,1,1,Materiale,"Acciaio, Legno",1,1,,"51,0 m2",1,1,,270 cm,1,1,,1176-1:2017,1,1,,210 kg,1,1,,8x8x585 cm,1,1,,,1,1,,,1,1,,,,,,,,

5017,simple,,SPACE 3431,1,1,visible,"La serie SWING include attrezzature classiche amate sia dai bambini più piccoli che da quelli più grandi. Altalene singole colorate, altalene a dondolo, altalene multiple con sedili a nido d'uccello e altalene multiple bilanciate offrono un piacevole brivido ai bambini e li incoraggiano a giocare con i loro amici. Il movimento ritmico dell'altalena è un efficace esercizio di equilibrio del corpo che ha un effetto positivo sullo sviluppo del sistema muscolare e mentale.","<strong>Specifiche del materiale</strong>
\n<ul>
\n 	<li>Costruzione in acciaio zincato a caldo e verniciato a polvere o zincato a polvere e verniciato a polvere con un diametro di 140 mm,</li>
\n 	<li>Posti attestati e sicuri,</li>
\n 	<li>Catene in acciaio inossidabile con intreccio in gomma; calibrate, per evitare che le dita si incastrino,</li>
\n 	<li>Fissaggi altalena in acciaio inossidabile,</li>
\n 	<li>Viti in acciaio inossidabile e/o viti coperte con tappi in plastica,</li>
\n 	<li>Tappi di chiusura sicuri sulla parte superiore della barra, realizzati in resistente lamiera di HDPE, resistente alle condizioni atmosferiche,</li>
\n</ul>
\n<strong>Informazioni aggiuntive</strong>
\n<ul>
\n 	<li>Attrezzatura destinata ai parchi giochi pubblici;</li>
\n 	<li>L'attrezzatura ha un certificato rilasciato da un ente accreditato o una dichiarazione di conformità; Nessun bordo tagliente o fessura che possa rappresentare un pericolo per la testa, le dita o qualsiasi altra parte del corpo;</li>
\n 	<li>Ancoraggio su superficie piana, profondo 100 cm;</li>
\n</ul>",,,taxable,,1,,,0,0,,,,,0,,,,"Giochi per parchi > Altalene, Giochi per parchi, Giochi per parchi > Altalene > Swing",Vinci Play,,"https://www.play-lab.it/wp-content/uploads/2024/01/c961-34311s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/8760-34312s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/d847-3431ciinox1s.jpg",,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,1155 cm,1,1,Larghezza,815 cm,1,1,Altezza Totale,660 cm,1,1,Età,4 - 14 years,1,1,Zona di Sicurezza,"49\,0 m2",1,1,Altezza di Caduta Libera,"89,3 m2",1,1,In conformità alla norma EN,270 cm,1,1,Peso della parte più pesante,1176-1:2017,1,1,Materiale,210 kg,1,1,Tempo di installazione,8x8x585 cm,1,1,,,1,1,,4 ore,1,1,,,,,,,,

5018,simple,,SPACE 3440,1,1,visible,"La serie SWING include attrezzature classiche amate sia dai bambini più piccoli che da quelli più grandi. Altalene singole colorate, altalene a dondolo, altalene multiple con sedili a nido d'uccello e altalene multiple bilanciate offrono un piacevole brivido ai bambini e li incoraggiano a giocare con i loro amici. Il movimento ritmico dell'altalena è un efficace esercizio di equilibrio del corpo che ha un effetto positivo sullo sviluppo del sistema muscolare e mentale.","<strong>Specifiche del materiale</strong>
\n<ul>
\n 	<li>Costruzione in acciaio zincato a caldo e verniciato a polvere o zincato a polvere e verniciato a polvere con un diametro di 140 mm,</li>
\n 	<li>Posti attestati e sicuri,</li>
\n 	<li>Catene in acciaio inossidabile con intreccio in gomma; calibrate, per evitare che le dita si incastrino,</li>
\n 	<li>Fissaggi altalena in acciaio inossidabile,</li>
\n 	<li>Viti in acciaio inossidabile e/o viti coperte con tappi in plastica,</li>
\n 	<li>Tappi di chiusura sicuri sulla parte superiore della barra, realizzati in resistente lamiera di HDPE, resistente alle condizioni atmosferiche,</li>
\n</ul>
\n<strong>Informazioni aggiuntive</strong>
\n<ul>
\n 	<li>Attrezzatura destinata ai parchi giochi pubblici;</li>
\n 	<li>L'attrezzatura ha un certificato rilasciato da un ente accreditato o una dichiarazione di conformità; Nessun bordo tagliente o fessura che possa rappresentare un pericolo per la testa, le dita o qualsiasi altra parte del corpo;</li>
\n 	<li>Ancoraggio su superficie piana, profondo 100 cm;</li>
\n</ul>",,,taxable,,1,,,0,0,,,,,0,,,,"Giochi per parchi > Altalene, Giochi per parchi, Giochi per parchi > Altalene > Swing",Vinci Play,,"https://www.play-lab.it/wp-content/uploads/2024/01/f18c-34401s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/968b-34402s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/39f8-3440ciinox1s.jpg",,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,1055 cm,1,1,Larghezza,800 cm,1,1,Altezza Totale,955 cm,1,1,Età,4 - 14 years,1,1,Zona di Sicurezza,"49\,0 m2",1,1,Altezza di Caduta Libera,"76,5 m2",1,1,In conformità alla norma EN,270 cm,1,1,Peso della parte più pesante,1176-1:2017,1,1,Materiale,210 kg,1,1,Tempo di installazione,8x8x585 cm,1,1,,,1,1,,5 ore,1,1,,,,,,,,

5019,simple,,SPACE 3441,1,1,visible,"La serie SWING include attrezzature classiche amate sia dai bambini più piccoli che da quelli più grandi. Altalene singole colorate, altalene a dondolo, altalene multiple con sedili a nido d'uccello e altalene multiple bilanciate offrono un piacevole brivido ai bambini e li incoraggiano a giocare con i loro amici. Il movimento ritmico dell'altalena è un efficace esercizio di equilibrio del corpo che ha un effetto positivo sullo sviluppo del sistema muscolare e mentale.","<strong>Specifiche del materiale</strong>
\n<ul>
\n 	<li>Costruzione in acciaio zincato a caldo e verniciato a polvere o zincato a polvere e verniciato a polvere con un diametro di 140 mm,</li>
\n 	<li>Posti attestati e sicuri,</li>
\n 	<li>Catene in acciaio inossidabile con intreccio in gomma; calibrate, per evitare che le dita si incastrino,</li>
\n 	<li>Fissaggi altalena in acciaio inossidabile,</li>
\n 	<li>Viti in acciaio inossidabile e/o viti coperte con tappi in plastica,</li>
\n 	<li>Tappi di chiusura sicuri sulla parte superiore della barra, realizzati in resistente lamiera di HDPE, resistente alle condizioni atmosferiche,</li>
